FAO_name,FAO item code,Subcategory,Environmental extension,EXIOBASE product code,CropGroup
"Rice, paddy",27,Paddy rice,Paddy rice,p01.a,Paddy rice
Wheat,15,Wheat,Wheat,p01.b,Cereal grains nec
Barley,44,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Maize,56,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Popcorn,68,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Rye,71,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Oats,75,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Millet,79,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Sorghum,83,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Buckwheat,89,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Quinoa,92,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Fonio,94,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Triticale,97,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Canary seed,101,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
"Grain, mixed",103,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Cereals nes,108,Cereal grains nec,Cereal grains nec,p01.c,Cereal grains nec
Coconuts,249,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Carobs,461,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Bananas,486,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Plantains and others,489,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Plantains,,,,,"Vegetables, fruit, nuts"
Oranges,490,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
"Tangerines, mandarins, clementines, satsumas",495,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Lemons and limes,497,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Grapefruit (inc. pomelos),507,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
"Fruit, citrus nes",512,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Apples,515,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Pears,521,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Quinces,523,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Apricots,526,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
"Cherries, sour",530,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Cherries,531,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Peaches and nectarines,534,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Plums and sloes,536,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
"Fruit, stone nes",541,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
"Fruit, pome nes",542,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Strawberries,544,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Raspberries,547,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Gooseberries,549,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Currants,550,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Blueberries,552,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Cranberries,554,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
Berries nes,558,Fruit,"Vegetables, fruit, nuts",p01.d,"Vegetables, fruit, nuts"
