"","Area.Code","Area","Item.Code","Item","Element","Year","Value"
"1",2,"Afghanistan",6655,"Land under perm. meadows and pastures","Area",2018,3e+07
"2",3,"Albania",6655,"Land under perm. meadows and pastures","Area",2018,478081
"3",4,"Algeria",6655,"Land under perm. meadows and pastures","Area",2018,32841830
"4",5,"American Samoa",6655,"Land under perm. meadows and pastures","Area",2018,70
"5",6,"Andorra",6655,"Land under perm. meadows and pastures","Area",2018,18000
"6",7,"Angola",6655,"Land under perm. meadows and pastures","Area",2018,51737490
"7",8,"Antigua and Barbuda",6655,"Land under perm. meadows and pastures","Area",2018,4000
"8",9,"Argentina",6655,"Land under perm. meadows and pastures","Area",2018,74681000
"9",1,"Armenia",6655,"Land under perm. meadows and pastures","Area",2018,1172600
"10",10,"Australia",6655,"Land under perm. meadows and pastures","Area",2018,327589000
"11",11,"Austria",6655,"Land under perm. meadows and pastures","Area",2018,1258810
"12",52,"Azerbaijan",6655,"Land under perm. meadows and pastures","Area",2018,2426600
"13",12,"Bahamas",6655,"Land under perm. meadows and pastures","Area",2018,2000
"14",13,"Bahrain",6655,"Land under perm. meadows and pastures","Area",2018,4000
"15",16,"Bangladesh",6655,"Land under perm. meadows and pastures","Area",2018,6e+05
"16",14,"Barbados",6655,"Land under perm. meadows and pastures","Area",2018,2000
"17",57,"Belarus",6655,"Land under perm. meadows and pastures","Area",2018,2630000
"18",255,"Belgium",6655,"Land under perm. meadows and pastures","Area",2018,480000
"19",23,"Belize",6655,"Land under perm. meadows and pastures","Area",2018,50000
"20",53,"Benin",6655,"Land under perm. meadows and pastures","Area",2018,550000
"21",18,"Bhutan",6655,"Land under perm. meadows and pastures","Area",2018,413000
"22",19,"Bolivia (Plurinational State of)",6655,"Land under perm. meadows and pastures","Area",2018,3.3e+07
"23",80,"Bosnia and Herzegovina",6655,"Land under perm. meadows and pastures","Area",2018,1082000
"24",20,"Botswana",6655,"Land under perm. meadows and pastures","Area",2018,25600000
"25",21,"Brazil",6655,"Land under perm. meadows and pastures","Area",2018,173360801
"26",239,"British Virgin Islands",6655,"Land under perm. meadows and pastures","Area",2018,5000
"27",26,"Brunei Darussalam",6655,"Land under perm. meadows and pastures","Area",2018,3400
"28",27,"Bulgaria",6655,"Land under perm. meadows and pastures","Area",2018,1399000
"29",233,"Burkina Faso",6655,"Land under perm. meadows and pastures","Area",2018,6e+06
"30",29,"Burundi",6655,"Land under perm. meadows and pastures","Area",2018,483000
"31",35,"Cabo Verde",6655,"Land under perm. meadows and pastures","Area",2018,25000
"32",115,"Cambodia",6655,"Land under perm. meadows and pastures","Area",2018,1500000
"33",32,"Cameroon",6655,"Land under perm. meadows and pastures","Area",2018,2e+06
"34",33,"Canada",6655,"Land under perm. meadows and pastures","Area",2018,19342000
"35",36,"Cayman Islands",6655,"Land under perm. meadows and pastures","Area",2018,2000
"36",37,"Central African Republic",6655,"Land under perm. meadows and pastures","Area",2018,3200000
"37",39,"Chad",6655,"Land under perm. meadows and pastures","Area",2018,4.5e+07
"38",259,"Channel Islands",6655,"Land under perm. meadows and pastures","Area",2018,4940
"39",40,"Chile",6655,"Land under perm. meadows and pastures","Area",2018,14015000
"40",351,"China",6655,"Land under perm. meadows and pastures","Area",2018,392834000
"41",96,"China, Hong Kong SAR",6655,"Land under perm. meadows and pastures","Area",2018,1000
"42",41,"China, mainland",6655,"Land under perm. meadows and pastures","Area",2018,392833000
"43",44,"Colombia",6655,"Land under perm. meadows and pastures","Area",2018,39600000
"44",45,"Comoros",6655,"Land under perm. meadows and pastures","Area",2018,15000
"45",46,"Congo",6655,"Land under perm. meadows and pastures","Area",2018,1e+07
"46",48,"Costa Rica",6655,"Land under perm. meadows and pastures","Area",2018,1200000
"47",107,"Côte d'Ivoire",6655,"Land under perm. meadows and pastures","Area",2018,13200000
"48",98,"Croatia",6655,"Land under perm. meadows and pastures","Area",2018,608000
"49",49,"Cuba",6655,"Land under perm. meadows and pastures","Area",2018,2738400
"50",50,"Cyprus",6655,"Land under perm. meadows and pastures","Area",2018,1592
"51",167,"Czechia",6655,"Land under perm. meadows and pastures","Area",2018,990000
"52",116,"Democratic People's Republic of Korea",6655,"Land under perm. meadows and pastures","Area",2018,50000
"53",250,"Democratic Republic of the Congo",6655,"Land under perm. meadows and pastures","Area",2018,18200000
"54",54,"Denmark",6655,"Land under perm. meadows and pastures","Area",2018,213000
"55",72,"Djibouti",6655,"Land under perm. meadows and pastures","Area",2018,1700000
"56",55,"Dominica",6655,"Land under perm. meadows and pastures","Area",2018,2000
"57",56,"Dominican Republic",6655,"Land under perm. meadows and pastures","Area",2018,1197000
"58",58,"Ecuador",6655,"Land under perm. meadows and pastures","Area",2018,3094000
"59",60,"El Salvador",6655,"Land under perm. meadows and pastures","Area",2018,314700
"60",61,"Equatorial Guinea",6655,"Land under perm. meadows and pastures","Area",2018,104000
"61",178,"Eritrea",6655,"Land under perm. meadows and pastures","Area",2018,6900000
"62",63,"Estonia",6655,"Land under perm. meadows and pastures","Area",2018,312000
"63",209,"Eswatini",6655,"Land under perm. meadows and pastures","Area",2018,1032000
"64",238,"Ethiopia",6655,"Land under perm. meadows and pastures","Area",2018,2e+07
"65",65,"Falkland Islands (Malvinas)",6655,"Land under perm. meadows and pastures","Area",2018,1141600
"66",66,"Fiji",6655,"Land under perm. meadows and pastures","Area",2018,175000
"67",67,"Finland",6655,"Land under perm. meadows and pastures","Area",2018,24000
"68",68,"France",6655,"Land under perm. meadows and pastures","Area",2018,9527900
"69",69,"French Guyana",6655,"Land under perm. meadows and pastures","Area",2018,13700
"70",70,"French Polynesia",6655,"Land under perm. meadows and pastures","Area",2018,20000
"71",74,"Gabon",6655,"Land under perm. meadows and pastures","Area",2018,1717640
"72",75,"Gambia",6655,"Land under perm. meadows and pastures","Area",2018,160000
"73",73,"Georgia",6655,"Land under perm. meadows and pastures","Area",2018,1940000
"74",79,"Germany",6655,"Land under perm. meadows and pastures","Area",2018,4713000
"75",81,"Ghana",6655,"Land under perm. meadows and pastures","Area",2018,7382740
"76",84,"Greece",6655,"Land under perm. meadows and pastures","Area",2018,2882000
"77",85,"Greenland",6655,"Land under perm. meadows and pastures","Area",2018,243110
"78",86,"Grenada",6655,"Land under perm. meadows and pastures","Area",2018,1000
"79",87,"Guadeloupe",6655,"Land under perm. meadows and pastures","Area",2018,25850
"80",88,"Guam",6655,"Land under perm. meadows and pastures","Area",2018,8000
"81",89,"Guatemala",6655,"Land under perm. meadows and pastures","Area",2018,1811000
"82",90,"Guinea",6655,"Land under perm. meadows and pastures","Area",2018,10700000
"83",175,"Guinea-Bissau",6655,"Land under perm. meadows and pastures","Area",2018,265110
"84",91,"Guyana",6655,"Land under perm. meadows and pastures","Area",2018,781250
"85",93,"Haiti",6655,"Land under perm. meadows and pastures","Area",2018,490000
"86",95,"Honduras",6655,"Land under perm. meadows and pastures","Area",2018,1915000
"87",97,"Hungary",6655,"Land under perm. meadows and pastures","Area",2018,799000
"88",99,"Iceland",6655,"Land under perm. meadows and pastures","Area",2018,1751000
"89",100,"India",6655,"Land under perm. meadows and pastures","Area",2018,10261000
"90",101,"Indonesia",6655,"Land under perm. meadows and pastures","Area",2018,1.1e+07
"91",102,"Iran (Islamic Republic of)",6655,"Land under perm. meadows and pastures","Area",2018,29477000
"92",103,"Iraq",6655,"Land under perm. meadows and pastures","Area",2018,4e+06
"93",104,"Ireland",6655,"Land under perm. meadows and pastures","Area",2018,4064000
"94",264,"Isle of Man",6655,"Land under perm. meadows and pastures","Area",2018,17200
"95",105,"Israel",6655,"Land under perm. meadows and pastures","Area",2018,158000
"96",106,"Italy",6655,"Land under perm. meadows and pastures","Area",2018,3245000
"97",109,"Jamaica",6655,"Land under perm. meadows and pastures","Area",2018,229000
"98",112,"Jordan",6655,"Land under perm. meadows and pastures","Area",2018,742000
"99",108,"Kazakhstan",6655,"Land under perm. meadows and pastures","Area",2018,186156100
"100",114,"Kenya",6655,"Land under perm. meadows and pastures","Area",2018,21300000
"101",118,"Kuwait",6655,"Land under perm. meadows and pastures","Area",2018,136000
"102",113,"Kyrgyzstan",6655,"Land under perm. meadows and pastures","Area",2018,9005800
"103",120,"Lao People's Democratic Republic",6655,"Land under perm. meadows and pastures","Area",2018,675000
"104",119,"Latvia",6655,"Land under perm. meadows and pastures","Area",2018,635000
"105",121,"Lebanon",6655,"Land under perm. meadows and pastures","Area",2018,4e+05
"106",122,"Lesotho",6655,"Land under perm. meadows and pastures","Area",2018,2e+06
"107",123,"Liberia",6655,"Land under perm. meadows and pastures","Area",2018,1254040
"108",124,"Libya",6655,"Land under perm. meadows and pastures","Area",2018,13300000
"109",125,"Liechtenstein",6655,"Land under perm. meadows and pastures","Area",2018,3790
"110",126,"Lithuania",6655,"Land under perm. meadows and pastures","Area",2018,796000
"111",256,"Luxembourg",6655,"Land under perm. meadows and pastures","Area",2018,67705
"112",129,"Madagascar",6655,"Land under perm. meadows and pastures","Area",2018,37295000
"113",130,"Malawi",6655,"Land under perm. meadows and pastures","Area",2018,1850000
"114",131,"Malaysia",6655,"Land under perm. meadows and pastures","Area",2018,285000
"115",132,"Maldives",6655,"Land under perm. meadows and pastures","Area",2018,1000
"116",133,"Mali",6655,"Land under perm. meadows and pastures","Area",2018,34640000
"117",127,"Marshall Islands",6655,"Land under perm. meadows and pastures","Area",2018,100
"118",135,"Martinique",6655,"Land under perm. meadows and pastures","Area",2018,15670
"119",136,"Mauritania",6655,"Land under perm. meadows and pastures","Area",2018,39250000
"120",137,"Mauritius",6655,"Land under perm. meadows and pastures","Area",2018,7000
"121",270,"Mayotte",6655,"Land under perm. meadows and pastures","Area",2018,20
"122",138,"Mexico",6655,"Land under perm. meadows and pastures","Area",2018,73909000
"123",145,"Micronesia (Federated States of)",6655,"Land under perm. meadows and pastures","Area",2018,3000
"124",141,"Mongolia",6655,"Land under perm. meadows and pastures","Area",2018,112100600
"125",273,"Montenegro",6655,"Land under perm. meadows and pastures","Area",2018,242100
"126",142,"Montserrat",6655,"Land under perm. meadows and pastures","Area",2018,1000
"127",143,"Morocco",6655,"Land under perm. meadows and pastures","Area",2018,2.1e+07
"128",144,"Mozambique",6655,"Land under perm. meadows and pastures","Area",2018,35463832
"129",28,"Myanmar",6655,"Land under perm. meadows and pastures","Area",2018,298700
"130",147,"Namibia",6655,"Land under perm. meadows and pastures","Area",2018,3.8e+07
"131",149,"Nepal",6655,"Land under perm. meadows and pastures","Area",2018,1795300
"132",150,"Netherlands",6655,"Land under perm. meadows and pastures","Area",2018,764000
"133",153,"New Caledonia",6655,"Land under perm. meadows and pastures","Area",2018,174330
"134",156,"New Zealand",6655,"Land under perm. meadows and pastures","Area",2018,9909000
"135",157,"Nicaragua",6655,"Land under perm. meadows and pastures","Area",2018,3275000
"136",158,"Niger",6655,"Land under perm. meadows and pastures","Area",2018,28782000
"137",159,"Nigeria",6655,"Land under perm. meadows and pastures","Area",2018,28623450
"138",160,"Niue",6655,"Land under perm. meadows and pastures","Area",2018,1000
"139",161,"Norfolk Island",6655,"Land under perm. meadows and pastures","Area",2018,1000
"140",154,"North Macedonia",6655,"Land under perm. meadows and pastures","Area",2018,805000
"141",163,"Northern Mariana Islands",6655,"Land under perm. meadows and pastures","Area",2018,370
"142",162,"Norway",6655,"Land under perm. meadows and pastures","Area",2018,179998
"143",221,"Oman",6655,"Land under perm. meadows and pastures","Area",2018,1351000
"144",165,"Pakistan",6655,"Land under perm. meadows and pastures","Area",2018,5e+06
"145",180,"Palau",6655,"Land under perm. meadows and pastures","Area",2018,2000
"146",299,"Palestine",6655,"Land under perm. meadows and pastures","Area",2018,277000
"147",166,"Panama",6655,"Land under perm. meadows and pastures","Area",2018,1509000
"148",168,"Papua New Guinea",6655,"Land under perm. meadows and pastures","Area",2018,190000
"149",169,"Paraguay",6655,"Land under perm. meadows and pastures","Area",2018,1.7e+07
"150",170,"Peru",6655,"Land under perm. meadows and pastures","Area",2018,18800000
"151",171,"Philippines",6655,"Land under perm. meadows and pastures","Area",2018,1500000
"152",173,"Poland",6655,"Land under perm. meadows and pastures","Area",2018,3150000
"153",174,"Portugal",6655,"Land under perm. meadows and pastures","Area",2018,1875850
"154",177,"Puerto Rico",6655,"Land under perm. meadows and pastures","Area",2018,102700
"155",179,"Qatar",6655,"Land under perm. meadows and pastures","Area",2018,50000
"156",117,"Republic of Korea",6655,"Land under perm. meadows and pastures","Area",2018,56000
"157",146,"Republic of Moldova",6655,"Land under perm. meadows and pastures","Area",2018,341100
"158",182,"Réunion",6655,"Land under perm. meadows and pastures","Area",2018,10820
"159",183,"Romania",6655,"Land under perm. meadows and pastures","Area",2018,4288000
"160",185,"Russian Federation",6655,"Land under perm. meadows and pastures","Area",2018,92052000
"161",184,"Rwanda",6655,"Land under perm. meadows and pastures","Area",2018,410000
"162",187,"Saint Helena, Ascension and Tristan da Cunha",6655,"Land under perm. meadows and pastures","Area",2018,8000
"163",188,"Saint Kitts and Nevis",6655,"Land under perm. meadows and pastures","Area",2018,900
"164",189,"Saint Lucia",6655,"Land under perm. meadows and pastures","Area",2018,600
"165",191,"Saint Vincent and the Grenadines",6655,"Land under perm. meadows and pastures","Area",2018,2000
"166",244,"Samoa",6655,"Land under perm. meadows and pastures","Area",2018,12100
"167",193,"Sao Tome and Principe",6655,"Land under perm. meadows and pastures","Area",2018,1000
"168",194,"Saudi Arabia",6655,"Land under perm. meadows and pastures","Area",2018,1.7e+08
"169",195,"Senegal",6655,"Land under perm. meadows and pastures","Area",2018,5600000
"170",272,"Serbia",6655,"Land under perm. meadows and pastures","Area",2018,676000
"171",197,"Sierra Leone",6655,"Land under perm. meadows and pastures","Area",2018,2200000
"172",199,"Slovakia",6655,"Land under perm. meadows and pastures","Area",2018,524000
"173",198,"Slovenia",6655,"Land under perm. meadows and pastures","Area",2018,376260
"174",25,"Solomon Islands",6655,"Land under perm. meadows and pastures","Area",2018,8000
